Student ID,Student Name,College Name,Department,Registration Date,Active Status,Assessment Score,Course Completion Status,Placement Readiness Status
S0332,Student_332,GITAM,IT,2025-11-13,Yes,63,Not Completed,Not Ready
S0333,Student_333,XYZ Institute,IT,2025-10-03,Yes,97,Completed,Not Ready
S0334,Student_334,GITAM,ME,2025-06-09,Yes,73,Completed,Not Ready
S0335,Student_335,GITAM,IT,2025-09-01,Yes,66,Completed,Not Ready
S0336,Student_336,SVEC,ME,2025-10-04,Yes,64,Not Completed,Not Ready
S0337,Student_337,VIT,EEE,2025-04-24,Yes,58,Not Completed,Not Ready
S0338,Student_338,GITAM,ME,2025-07-25,Yes,60,Not Completed,Not Ready
S0339,Student_339,GITAM,AI&DS,2025-02-14,Yes,63,Not Completed,Not Ready
S0340,Student_340,XYZ Institute,AI&ML,2025-11-17,Yes,64,Not Completed,Not Ready
S0341,Student_341,SVEC,ME,2025-09-18,No,80,Not Completed,Not Ready
S0342,Student_342,JNTU,ECE,2025-01-03,Yes,97,Completed,Ready
S0343,Student_343,GITAM,AI&DS,2025-09-06,Yes,62,Not Completed,Not Ready
S0344,Student_344,XYZ Institute,EEE,2025-05-22,Yes,72,Completed,Not Ready
S0345,Student_345,JNTU,CSE,2025-12-06,Yes,87,Completed,Ready
S0346,Student_346,ABC College,IT,2025-08-04,Yes,49,Not Completed,Not Ready
S0347,Student_347,JNTU,Civil,2025-03-01,Yes,78,Completed,Ready
S0348,Student_348,ABC College,ME,2025-02-11,Yes,85,Not Completed,Not Ready
S0349,Student_349,ABC College,Civil,2025-09-22,No,78,Not Completed,Not Ready
S0350,Student_350,SVEC,AI&ML,2025-01-02,Yes,48,Not Completed,Not Ready
S0351,Student_351,GITAM,EEE,2025-08-06,Yes,82,Completed,Ready
S0352,Student_352,XYZ Institute,Civil,2025-08-25,Yes,82,Completed,Ready
S0353,Student_353,ABC College,IT,2025-05-01,Yes,63,Not Completed,Not Ready
S0354,Student_354,ABC College,ME,2025-05-19,Yes,75,Completed,Ready
S0355,Student_355,ABC College,ME,2025-04-08,Yes,48,Not Completed,Not Ready
S0356,Student_356,JNTU,AI&ML,2025-08-20,Yes,64,Not Completed,Not Ready
S0357,Student_357,XYZ Institute,Civil,2025-08-29,No,51,Not Completed,Not Ready
S0358,Student_358,XYZ Institute,CSE,2025-03-31,Yes,64,Not Completed,Not Ready
S0359,Student_359,ABC College,CSE,2025-03-17,Yes,62,Not Completed,Not Ready
S0360,Student_360,GITAM,IT,2025-05-04,Yes,98,Completed,Not Ready
S0361,Student_361,XYZ Institute,Civil,2025-05-15,Yes,68,Completed,Not Ready
S0362,Student_362,GITAM,IT,2025-12-25,Yes,52,Not Completed,Not Ready
S0363,Student_363,ABC College,AI&DS,2025-01-03,Yes,98,Completed,Ready
S0364,Student_364,JNTU,IT,2025-12-11,Yes,79,Completed,Ready
S0365,Student_365,ABC College,AI&ML,2025-12-22,Yes,61,Not Completed,Not Ready
S0366,Student_366,JNTU,CSE,2025-03-07,Yes,82,Completed,Ready
S0367,Student_367,XYZ Institute,IT,2025-06-06,Yes,81,Completed,Ready
S0368,Student_368,JNTU,IT,2025-10-10,Yes,55,Not Completed,Not Ready
S0369,Student_369,ABC College,ME,2025-09-13,Yes,57,Not Completed,Not Ready
S0370,Student_370,SVEC,AI&DS,2025-02-01,Yes,96,Completed,Not Ready
S0371,Student_371,VIT,AI&DS,2025-10-30,Yes,84,Completed,Ready
S0372,Student_372,SVEC,EEE,2025-08-30,Yes,81,Completed,Ready
S0373,Student_373,VIT,ECE,2025-05-24,Yes,71,Completed,Not Ready
S0374,Student_374,GITAM,AI&DS,2025-06-14,Yes,81,Completed,Ready
S0375,Student_375,ABC College,Civil,2025-07-02,Yes,49,Not Completed,Not Ready
S0376,Student_376,ABC College,AI&ML,2025-10-16,Yes,49,Not Completed,Not Ready
S0377,Student_377,JNTU,AI&DS,2025-09-15,Yes,72,Completed,Not Ready
S0378,Student_378,SVEC,EEE,2025-05-28,Yes,72,Completed,Not Ready
S0379,Student_379,ABC College,EEE,2025-04-21,Yes,98,Completed,Ready
S0380,Student_380,GITAM,ECE,2025-01-07,No,97,Not Completed,Not Ready
S0381,Student_381,SVEC,IT,2025-10-08,Yes,68,Not Completed,Not Ready
S0382,Student_382,JNTU,CSE,2025-07-03,Yes,63,Not Completed,Not Ready
S0383,Student_383,ABC College,AI&ML,2025-07-21,No,73,Not Completed,Not Ready
S0384,Student_384,ABC College,IT,2025-06-15,Yes,52,Not Completed,Not Ready
S0385,Student_385,VIT,ECE,2025-09-04,No,47,Not Completed,Not Ready
S0386,Student_386,VIT,EEE,2025-09-12,Yes,55,Not Completed,Not Ready
S0387,Student_387,JNTU,IT,2025-04-18,Yes,69,Completed,Not Ready
S0388,Student_388,JNTU,EEE,2025-06-13,Yes,87,Completed,Ready
S0389,Student_389,XYZ Institute,IT,2025-02-08,Yes,98,Not Completed,Not Ready
S0390,Student_390,GITAM,ME,2025-06-02,Yes,57,Not Completed,Not Ready
S0391,Student_391,GITAM,ECE,2025-08-17,No,58,Not Completed,Not Ready
S0392,Student_392,SVEC,IT,2025-09-06,Yes,91,Completed,Ready
S0393,Student_393,SVEC,ME,2025-02-09,Yes,60,Not Completed,Not Ready
S0394,Student_394,ABC College,AI&DS,2025-07-15,Yes,49,Not Completed,Not Ready
S0395,Student_395,GITAM,ME,2025-07-15,Yes,81,Completed,Not Ready
S0396,Student_396,ABC College,ECE,2025-05-01,Yes,61,Not Completed,Not Ready
S0397,Student_397,VIT,AI&DS,2025-12-10,Yes,98,Not Completed,Not Ready
S0398,Student_398,ABC College,EEE,2025-03-17,No,88,Not Completed,Not Ready
S0399,Student_399,GITAM,Civil,2025-05-30,Yes,63,Not Completed,Not Ready
S0400,Student_400,VIT,IT,2025-05-12,Yes,91,Completed,Not Ready
S0401,Student_401,ABC College,ECE,2025-08-13,Yes,90,Completed,Not Ready
S0402,Student_402,SVEC,EEE,2025-02-19,Yes,87,Not Completed,Not Ready
S0403,Student_403,VIT,ME,2025-03-22,Yes,79,Completed,Not Ready
S0404,Student_404,VIT,AI&ML,2025-07-21,Yes,70,Completed,Not Ready
S0405,Student_405,XYZ Institute,CSE,2025-12-20,Yes,57,Not Completed,Not Ready
S0406,Student_406,JNTU,ECE,2025-09-13,Yes,55,Not Completed,Not Ready
S0407,Student_407,SVEC,EEE,2025-05-04,Yes,64,Not Completed,Not Ready
S0408,Student_408,GITAM,CSE,2025-03-13,Yes,50,Not Completed,Not Ready
S0409,Student_409,XYZ Institute,Civil,2025-06-24,Yes,68,Completed,Not Ready
S0410,Student_410,VIT,ECE,2025-12-07,Yes,91,Completed,Not Ready
S0411,Student_411,ABC College,AI&ML,2025-10-17,Yes,61,Not Completed,Not Ready
S0412,Student_412,XYZ Institute,AI&DS,2025-12-28,No,88,Not Completed,Not Ready
S0413,Student_413,JNTU,ME,2025-10-04,Yes,90,Completed,Ready
S0414,Student_414,SVEC,EEE,2025-08-21,Yes,86,Not Completed,Not Ready
S0415,Student_415,SVEC,ECE,2025-08-18,Yes,65,Completed,Not Ready
S0416,Student_416,SVEC,AI&ML,2025-03-30,Yes,97,Completed,Ready
S0417,Student_417,ABC College,EEE,2025-01-25,Yes,45,Not Completed,Not Ready
S0418,Student_418,GITAM,EEE,2025-03-23,Yes,49,Not Completed,Not Ready
S0419,Student_419,GITAM,EEE,2025-08-04,Yes,84,Completed,Ready
S0420,Student_420,ABC College,AI&DS,2025-01-25,Yes,78,Completed,Ready
S0421,Student_421,JNTU,AI&DS,2025-08-14,Yes,72,Completed,Not Ready
S0422,Student_422,SVEC,ME,2025-06-05,Yes,62,Not Completed,Not Ready
S0423,Student_423,JNTU,ME,2025-12-24,Yes,69,Completed,Not Ready
S0424,Student_424,XYZ Institute,EEE,2025-09-25,Yes,65,Completed,Not Ready
S0425,Student_425,JNTU,ECE,2025-02-22,Yes,87,Completed,Ready
S0426,Student_426,GITAM,AI&DS,2025-06-11,Yes,90,Completed,Ready
S0427,Student_427,VIT,ECE,2025-08-28,Yes,82,Completed,Not Ready
S0428,Student_428,GITAM,ME,2025-09-25,Yes,46,Not Completed,Not Ready
S0429,Student_429,GITAM,IT,2025-11-14,Yes,86,Completed,Ready
S0430,Student_430,SVEC,CSE,2025-10-16,Yes,55,Not Completed,Not Ready
S0431,Student_431,SVEC,ME,2025-05-09,Yes,54,Not Completed,Not Ready
S0432,Student_432,VIT,EEE,2025-04-20,Yes,80,Completed,Ready
S0433,Student_433,SVEC,IT,2025-05-13,Yes,84,Not Completed,Not Ready
S0434,Student_434,ABC College,AI&ML,2025-08-21,Yes,76,Completed,Ready
S0435,Student_435,XYZ Institute,Civil,2025-05-17,Yes,58,Not Completed,Not Ready
S0436,Student_436,SVEC,EEE,2025-06-04,Yes,87,Not Completed,Not Ready
S0437,Student_437,GITAM,ME,2025-04-19,Yes,55,Not Completed,Not Ready
S0438,Student_438,VIT,AI&ML,2025-08-17,Yes,60,Not Completed,Not Ready
S0439,Student_439,JNTU,EEE,2025-06-10,No,47,Not Completed,Not Ready
S0440,Student_440,XYZ Institute,AI&ML,2025-11-06,Yes,55,Not Completed,Not Ready
S0441,Student_441,JNTU,EEE,2025-09-25,Yes,54,Not Completed,Not Ready
S0442,Student_442,XYZ Institute,AI&DS,2025-05-30,Yes,86,Not Completed,Not Ready
S0443,Student_443,JNTU,ECE,2025-01-25,Yes,72,Completed,Not Ready
S0444,Student_444,JNTU,ME,2025-07-23,Yes,90,Completed,Ready
S0445,Student_445,VIT,AI&ML,2025-12-03,Yes,57,Not Completed,Not Ready
S0446,Student_446,XYZ Institute,ME,2025-01-14,Yes,80,Completed,Not Ready
S0447,Student_447,JNTU,IT,2025-10-24,No,53,Not Completed,Not Ready
S0448,Student_448,SVEC,ECE,2025-01-01,Yes,84,Completed,Not Ready
S0449,Student_449,GITAM,Civil,2025-04-22,Yes,71,Completed,Not Ready
S0450,Student_450,JNTU,ME,2025-03-07,Yes,71,Completed,Not Ready
S0451,Student_451,ABC College,ME,2025-09-13,Yes,53,Not Completed,Not Ready
S0452,Student_452,VIT,EEE,2025-12-10,Yes,58,Not Completed,Not Ready
S0453,Student_453,ABC College,CSE,2025-07-14,Yes,56,Not Completed,Not Ready
S0454,Student_454,JNTU,EEE,2025-04-13,Yes,57,Not Completed,Not Ready
S0455,Student_455,VIT,Civil,2025-10-17,No,81,Not Completed,Not Ready
S0456,Student_456,GITAM,AI&DS,2025-10-28,Yes,68,Completed,Not Ready
S0457,Student_457,GITAM,ECE,2025-08-21,Yes,96,Completed,Ready
S0458,Student_458,VIT,Civil,2025-02-13,No,60,Not Completed,Not Ready
S0459,Student_459,VIT,ME,2025-11-17,Yes,77,Completed,Not Ready
S0460,Student_460,SVEC,ME,2025-09-07,No,92,Not Completed,Not Ready
S0461,Student_461,XYZ Institute,AI&ML,2025-11-15,Yes,89,Not Completed,Not Ready
S0462,Student_462,JNTU,ME,2025-04-17,No,48,Not Completed,Not Ready
S0463,Student_463,ABC College,CSE,2025-04-02,Yes,62,Not Completed,Not Ready
S0464,Student_464,SVEC,CSE,2025-12-25,Yes,71,Completed,Not Ready
S0465,Student_465,GITAM,IT,2025-03-01,Yes,64,Not Completed,Not Ready
S0466,Student_466,GITAM,AI&DS,2025-12-03,Yes,62,Not Completed,Not Ready
S0467,Student_467,VIT,AI&ML,2025-02-18,Yes,78,Completed,Ready
S0468,Student_468,VIT,EEE,2025-11-12,No,49,Not Completed,Not Ready
S0469,Student_469,ABC College,IT,2025-11-22,Yes,57,Not Completed,Not Ready
S0470,Student_470,JNTU,EEE,2025-02-12,Yes,94,Completed,Not Ready
S0471,Student_471,XYZ Institute,EEE,2025-05-02,Yes,98,Completed,Ready
S0472,Student_472,XYZ Institute,CSE,2025-11-18,Yes,60,Not Completed,Not Ready
S0473,Student_473,SVEC,CSE,2025-11-22,Yes,95,Not Completed,Not Ready
S0474,Student_474,JNTU,Civil,2025-06-09,Yes,74,Completed,Not Ready
S0475,Student_475,SVEC,ME,2025-01-24,Yes,58,Not Completed,Not Ready
S0476,Student_476,GITAM,ECE,2025-01-20,No,93,Not Completed,Not Ready
S0477,Student_477,JNTU,EEE,2025-06-25,Yes,82,Completed,Ready
S0478,Student_478,SVEC,AI&ML,2025-02-23,Yes,63,Not Completed,Not Ready
S0479,Student_479,JNTU,AI&ML,2025-07-05,Yes,61,Not Completed,Not Ready
S0480,Student_480,ABC College,CSE,2025-01-23,Yes,84,Completed,Ready
S0481,Student_481,SVEC,IT,2025-02-05,Yes,97,Completed,Ready
S0482,Student_482,GITAM,CSE,2025-07-04,Yes,68,Completed,Not Ready
S0483,Student_483,JNTU,CSE,2025-10-05,Yes,95,Completed,Ready
S0484,Student_484,SVEC,AI&ML,2025-09-19,Yes,84,Completed,Ready
S0485,Student_485,JNTU,EEE,2025-03-18,Yes,88,Completed,Ready
S0486,Student_486,ABC College,ME,2025-04-08,Yes,85,Completed,Ready
S0487,Student_487,ABC College,Civil,2025-08-10,Yes,73,Completed,Not Ready
S0488,Student_488,XYZ Institute,AI&ML,2025-01-02,No,47,Not Completed,Not Ready
S0489,Student_489,SVEC,Civil,2025-02-14,Yes,51,Not Completed,Not Ready
S0490,Student_490,ABC College,ME,2025-07-19,Yes,83,Completed,Not Ready
S0491,Student_491,VIT,AI&DS,2025-10-30,No,82,Not Completed,Not Ready
S0492,Student_492,ABC College,EEE,2025-06-13,No,87,Not Completed,Not Ready
S0493,Student_493,XYZ Institute,EEE,2025-04-28,Yes,67,Not Completed,Not Ready
S0494,Student_494,SVEC,ECE,2025-06-29,Yes,62,Not Completed,Not Ready
S0495,Student_495,GITAM,AI&DS,2025-08-11,Yes,68,Completed,Not Ready
S0496,Student_496,JNTU,EEE,2025-03-13,Yes,85,Completed,Ready
S0497,Student_497,VIT,Civil,2025-06-21,Yes,93,Completed,Ready
S0498,Student_498,JNTU,CSE,2025-04-09,Yes,96,Completed,Ready
S0499,Student_499,GITAM,AI&DS,2025-01-22,No,79,Not Completed,Not Ready
S0500,Student_500,GITAM,CSE,2025-11-02,Yes,73,Completed,Not Ready
